id,year,districtno_x,districtname,female,reth,source_file_x,districtno_y,eval,source_file_y
776,2013,234,Radnor,1,White,tdemo2013_reth.csv,234,5.0,teval2013.csv
5470,2013,234,Radnor,1,White,tdemo2013_reth.csv,234,3.0,teval2013.csv
6959,2013,234,Radnor,1,White,tdemo2013_reth.csv,234,4.0,teval2013.csv
7281,2013,234,Radnor,1,White,tdemo2013_reth.csv,234,3.0,teval2013.csv
1807,2013,234,Radnor,1,White,tdemo2013_reth.csv,234,4.0,teval2013.csv
7483,2013,987,Kentwood,1,White,tdemo2013_reth.csv,987,4.0,teval2013.csv
2423,2013,234,Radnor,0,White,tdemo2013_reth.csv,234,3.0,teval2013.csv
3459,2013,234,Radnor,1,White,tdemo2013_reth.csv,234,,teval2013.csv
2855,2013,234,Radnor,1,White,tdemo2013_reth.csv,234,3.0,teval2013.csv
3457,2013,234,Radnor,1,White,tdemo2013_reth.csv,234,2.0,teval2013.csv
2761,2013,234,Radnor,1,White,tdemo2013_reth.csv,234,5.0,teval2013.csv
5413,2013,987,Kentwood,1,White,tdemo2013_reth.csv,987,,teval2013.csv
284,2013,234,Radnor,1,White,tdemo2013_reth.csv,234,2.0,teval2013.csv
3593,2013,234,Radnor,1,White,tdemo2013_reth.csv,234,4.0,teval2013.csv
2648,2013,234,Radnor,1,White,tdemo2013_reth.csv,234,5.0,teval2013.csv
4126,2013,234,Radnor,1,White,tdemo2013_reth.csv,234,5.0,teval2013.csv
6352,2013,987,Kentwood,1,White,tdemo2013_reth.csv,987,5.0,teval2013.csv
5660,2013,234,Radnor,1,White,tdemo2013_reth.csv,234,5.0,teval2013.csv
4392,2013,234,Radnor,1,White,tdemo2013_reth.csv,234,5.0,teval2013.csv
2601,2013,234,Radnor,1,Black,tdemo2013_reth.csv,234,1.0,teval2013.csv
6912,2013,234,Radnor,1,Black,tdemo2013_reth.csv,234,3.0,teval2013.csv
3448,2013,234,Radnor,1,White,tdemo2013_reth.csv,234,5.0,teval2013.csv
2427,2013,234,Radnor,0,White,tdemo2013_reth.csv,234,5.0,teval2013.csv
7425,2013,234,Radnor,1,White,tdemo2013_reth.csv,234,2.0,teval2013.csv
4595,2013,234,Radnor,1,White,tdemo2013_reth.csv,234,4.0,teval2013.csv
3444,2013,234,Radnor,0,White,tdemo2013_reth.csv,234,3.0,teval2013.csv
878,2013,234,Radnor,1,White,tdemo2013_reth.csv,234,2.0,teval2013.csv
3513,2013,234,Radnor,1,White,tdemo2013_reth.csv,234,3.0,teval2013.csv
3927,2013,987,Kentwood,1,White,tdemo2013_reth.csv,987,,teval2013.csv
369,2013,234,Radnor,1,White,tdemo2013_reth.csv,234,3.0,teval2013.csv
5819,2013,987,Kentwood,1,White,tdemo2013_reth.csv,987,5.0,teval2013.csv
7451,2013,122,Westlake,1,White,tdemo2013_reth.csv,122,5.0,teval2013.csv
3203,2013,234,Radnor,1,White,tdemo2013_reth.csv,234,5.0,teval2013.csv
5691,2013,234,Radnor,1,White,tdemo2013_reth.csv,234,2.0,teval2013.csv
4345,2013,234,Radnor,1,White,tdemo2013_reth.csv,234,3.0,teval2013.csv
6154,2013,234,Radnor,1,White,tdemo2013_reth.csv,234,4.0,teval2013.csv
6880,2013,234,Radnor,1,White,tdemo2013_reth.csv,234,3.0,teval2013.csv
2275,2013,234,Radnor,1,White,tdemo2013_reth.csv,234,5.0,teval2013.csv
4428,2013,234,Radnor,1,White,tdemo2013_reth.csv,234,2.0,teval2013.csv
4314,2013,234,Radnor,1,White,tdemo2013_reth.csv,234,4.0,teval2013.csv
3287,2013,987,Kentwood,1,White,tdemo2013_reth.csv,987,4.0,teval2013.csv
6170,2013,234,Radnor,1,White,tdemo2013_reth.csv,234,4.0,teval2013.csv
4011,2013,234,Radnor,1,White,tdemo2013_reth.csv,234,3.0,teval2013.csv
7277,2013,987,Kentwood,1,White,tdemo2013_reth.csv,987,,teval2013.csv
5305,2013,234,Radnor,1,White,tdemo2013_reth.csv,234,4.0,teval2013.csv
1048,2013,234,Radnor,1,White,tdemo2013_reth.csv,234,4.0,teval2013.csv
754,2013,234,Radnor,1,White,tdemo2013_reth.csv,234,2.0,teval2013.csv
4058,2013,234,Radnor,1,White,tdemo2013_reth.csv,234,4.0,teval2013.csv
6981,2013,234,Radnor,1,White,tdemo2013_reth.csv,234,3.0,teval2013.csv
6978,2013,234,Radnor,1,White,tdemo2013_reth.csv,234,5.0,teval2013.csv
