id,year,districtno,districtname,female,reth,source_file
776,2013,234,Radnor,1,White,tdemo2013_reth.csv
5470,2013,234,Radnor,1,White,tdemo2013_reth.csv
6959,2013,234,Radnor,1,White,tdemo2013_reth.csv
7281,2013,234,Radnor,1,White,tdemo2013_reth.csv
1807,2013,234,Radnor,1,White,tdemo2013_reth.csv
7483,2013,987,Kentwood,1,White,tdemo2013_reth.csv
2423,2013,234,Radnor,0,White,tdemo2013_reth.csv
4060,2013,987,Kentwood,1,White,tdemo2013_reth.csv
3459,2013,234,Radnor,1,White,tdemo2013_reth.csv
2855,2013,234,Radnor,1,White,tdemo2013_reth.csv
3457,2013,234,Radnor,1,White,tdemo2013_reth.csv
2761,2013,234,Radnor,1,White,tdemo2013_reth.csv
5413,2013,987,Kentwood,1,White,tdemo2013_reth.csv
284,2013,234,Radnor,1,White,tdemo2013_reth.csv
3593,2013,234,Radnor,1,White,tdemo2013_reth.csv
390,2013,234,Radnor,1,White,tdemo2013_reth.csv
2648,2013,234,Radnor,1,White,tdemo2013_reth.csv
4126,2013,234,Radnor,1,White,tdemo2013_reth.csv
6352,2013,987,Kentwood,1,White,tdemo2013_reth.csv
5660,2013,234,Radnor,1,White,tdemo2013_reth.csv
4392,2013,234,Radnor,1,White,tdemo2013_reth.csv
1228,2013,234,Radnor,1,White,tdemo2013_reth.csv
7302,2013,122,Westlake,1,White,tdemo2013_reth.csv
2601,2013,234,Radnor,1,Black,tdemo2013_reth.csv
6912,2013,234,Radnor,1,Black,tdemo2013_reth.csv
3448,2013,234,Radnor,1,White,tdemo2013_reth.csv
2427,2013,234,Radnor,0,White,tdemo2013_reth.csv
7425,2013,234,Radnor,1,White,tdemo2013_reth.csv
4595,2013,234,Radnor,1,White,tdemo2013_reth.csv
3444,2013,234,Radnor,0,White,tdemo2013_reth.csv
878,2013,234,Radnor,1,White,tdemo2013_reth.csv
3513,2013,234,Radnor,1,White,tdemo2013_reth.csv
3927,2013,987,Kentwood,1,White,tdemo2013_reth.csv
369,2013,234,Radnor,1,White,tdemo2013_reth.csv
5819,2013,987,Kentwood,1,White,tdemo2013_reth.csv
6018,2013,987,Kentwood,0,White,tdemo2013_reth.csv
7451,2013,122,Westlake,1,White,tdemo2013_reth.csv
3203,2013,234,Radnor,1,White,tdemo2013_reth.csv
5691,2013,234,Radnor,1,White,tdemo2013_reth.csv
4345,2013,234,Radnor,1,White,tdemo2013_reth.csv
6154,2013,234,Radnor,1,White,tdemo2013_reth.csv
5504,2013,234,Radnor,0,White,tdemo2013_reth.csv
6880,2013,234,Radnor,1,White,tdemo2013_reth.csv
2275,2013,234,Radnor,1,White,tdemo2013_reth.csv
4428,2013,234,Radnor,1,White,tdemo2013_reth.csv
4314,2013,234,Radnor,1,White,tdemo2013_reth.csv
3287,2013,987,Kentwood,1,White,tdemo2013_reth.csv
6170,2013,234,Radnor,1,White,tdemo2013_reth.csv
4011,2013,234,Radnor,1,White,tdemo2013_reth.csv
4673,2013,234,Radnor,1,Black,tdemo2013_reth.csv
7277,2013,987,Kentwood,1,White,tdemo2013_reth.csv
5305,2013,234,Radnor,1,White,tdemo2013_reth.csv
1048,2013,234,Radnor,1,White,tdemo2013_reth.csv
754,2013,234,Radnor,1,White,tdemo2013_reth.csv
4058,2013,234,Radnor,1,White,tdemo2013_reth.csv
6981,2013,234,Radnor,1,White,tdemo2013_reth.csv
476,2013,122,Westlake,0,White,tdemo2013_reth.csv
6978,2013,234,Radnor,1,White,tdemo2013_reth.csv
4854,2013,234,Radnor,0,White,tdemo2013_reth.csv
721,2013,234,Radnor,1,White,tdemo2013_reth.csv
5139,2013,234,Radnor,1,White,tdemo2013_reth.csv
