id,year,districtno,districtname,female,reth
776,2013,234,Radnor,1,1
5470,2013,234,Radnor,1,1
6959,2013,234,Radnor,1,1
7281,2013,234,Radnor,1,1
7281,2013,234,Radnor,1,1
1807,2013,234,Radnor,1,1
7483,2013,987,Kentwood,1,1
2423,2013,234,Radnor,0,1
4060,2013,987,Kentwood,1,1
3459,2013,234,Radnor,1,1
2855,2013,234,Radnor,1,1
3457,2013,234,Radnor,1,1
2761,2013,234,Radnor,1,1
5413,2013,987,Kentwood,1,1
284,2013,234,Radnor,1,1
3593,2013,234,Radnor,1,1
390,2013,234,Radnor,1,1
2648,2013,234,Radnor,1,1
4126,2013,234,Radnor,1,1
6352,2013,987,Kentwood,1,1
5660,2013,234,Radnor,1,1
4392,2013,234,Radnor,1,1
1228,2013,234,Radnor,1,1
7302,2013,122,Westlake,1,1
2601,2013,234,Radnor,1,2
6912,2013,234,Radnor,1,2
3448,2013,234,Radnor,1,1
2427,2013,234,Radnor,0,1
7425,2013,234,Radnor,1,1
4595,2013,234,Radnor,1,1
3444,2013,234,Radnor,0,1
878,2013,234,Radnor,1,1
3513,2013,234,Radnor,1,1
3927,2013,987,Kentwood,1,1
369,2013,234,Radnor,1,1
5819,2013,987,Kentwood,1,1
6018,2013,987,Kentwood,0,1
7451,2013,122,Westlake,1,1
3203,2013,234,Radnor,1,1
5691,2013,234,Radnor,1,1
4345,2013,234,Radnor,1,1
6154,2013,234,Radnor,1,1
5504,2013,234,Radnor,0,1
6880,2013,234,Radnor,1,1
2275,2013,234,Radnor,1,1
4428,2013,234,Radnor,1,1
4314,2013,234,Radnor,1,1
3287,2013,987,Kentwood,1,1
6170,2013,234,Radnor,1,1
4011,2013,234,Radnor,1,1
4673,2013,234,Radnor,1,2
7277,2013,987,Kentwood,1,1
5305,2013,234,Radnor,1,1
1048,2013,234,Radnor,1,1
754,2013,234,Radnor,1,1
4058,2013,234,Radnor,1,1
6981,2013,234,Radnor,1,1
476,2013,122,Westlake,0,1
6978,2013,234,Radnor,1,1
4854,2013,234,Radnor,0,1
721,2013,234,Radnor,1,1
5139,2013,234,Radnor,1,1
5139,2013,234,Radnor,1,1
2172,2013,987,Kentwood,1,1
131,2013,234,Radnor,1,1
5913,2013,234,Radnor,1,1
3600,2013,234,Radnor,1,1
2706,2013,987,Kentwood,1,1
4897,2013,234,Radnor,0,3
3160,2013,122,Westlake,1,1
5467,2013,987,Kentwood,0,2
5933,2013,234,Radnor,1,1
412,2013,234,Radnor,0,1
2746,2013,234,Radnor,1,1
3343,2013,234,Radnor,1,1
4056,2013,234,Radnor,1,1
5300,2013,234,Radnor,0,1
1023,2013,234,Radnor,0,1
6578,2013,234,Radnor,1,1
2808,2013,234,Radnor,1,1
4837,2013,234,Radnor,1,1
4618,2013,234,Radnor,0,1
5376,2013,234,Radnor,0,1
5436,2013,234,Radnor,1,1
2300,2013,234,Radnor,1,1
3580,2013,234,Radnor,1,1
862,2013,234,Radnor,1,1
3373,2013,987,Kentwood,1,1
1174,2013,987,Kentwood,1,1
6918,2013,234,Radnor,1,2
2498,2013,234,Radnor,1,1
2000,2013,234,Radnor,1,1
5360,2013,234,Radnor,1,1
1050,2013,234,Radnor,1,1
3715,2013,234,Radnor,1,1
6616,2013,234,Radnor,1,1
2278,2013,234,Radnor,1,1
4318,2013,234,Radnor,1,1
1509,2013,234,Radnor,1,1
980,2013,234,Radnor,1,1
5288,2013,234,Radnor,1,1
5639,2013,987,Kentwood,0,1
5639,2013,987,Kentwood,0,1
4465,2013,234,Radnor,1,1
6676,2013,234,Radnor,0,1
3578,2013,234,Radnor,0,1
4324,2013,234,Radnor,1,1
5272,2013,234,Radnor,1,1
4546,2013,234,Radnor,1,1
985,2013,234,Radnor,1,1
5399,2013,234,Radnor,1,1
3755,2013,234,Radnor,1,1
1121,2013,234,Radnor,0,1
6792,2013,122,Westlake,1,
5932,2013,234,Radnor,1,1
7285,2013,234,Radnor,1,1
1895,2013,234,Radnor,1,2
6487,2013,234,Radnor,1,1
7462,2013,234,Radnor,1,1
4266,2013,234,Radnor,1,1
44,2013,987,Kentwood,1,1
3009,2013,234,Radnor,0,1
3009,2013,234,Radnor,0,1
4833,2013,234,Radnor,1,1
4865,2013,234,Radnor,1,1
2447,2013,234,Radnor,1,2
1124,2013,234,Radnor,1,1
56,2013,234,Radnor,0,1
3748,2013,987,Kentwood,0,1
3445,2013,234,Radnor,1,
1834,2013,234,Radnor,1,1
2583,2013,234,Radnor,1,1
1939,2013,234,Radnor,1,1
638,2013,234,Radnor,1,1
6702,2013,234,Radnor,1,1
1047,2013,122,Westlake,1,1
3159,2013,234,Radnor,1,1
4615,2013,234,Radnor,1,1
5100,2013,234,Radnor,1,3
5268,2013,234,Radnor,1,1
2657,2013,234,Radnor,0,3
6629,2013,234,Radnor,0,2
829,2013,234,Radnor,1,1
3354,2013,234,Radnor,1,1
2145,2013,987,Kentwood,1,
1290,2013,987,Kentwood,0,1
5085,2013,234,Radnor,0,1
