id,year,districtno,districtname,female,reth
776,2013,234,Radnor,1,White
5470,2013,234,Radnor,1,White
6959,2013,234,Radnor,1,White
7281,2013,234,Radnor,1,White
7281,2013,234,Radnor,1,White
1807,2013,234,Radnor,1,White
7483,2013,987,Kentwood,1,White
2423,2013,234,Radnor,0,White
4060,2013,987,Kentwood,1,White
3459,2013,234,Radnor,1,White
2855,2013,234,Radnor,1,White
3457,2013,234,Radnor,1,White
2761,2013,234,Radnor,1,White
5413,2013,987,Kentwood,1,White
284,2013,234,Radnor,1,White
3593,2013,234,Radnor,1,White
390,2013,234,Radnor,1,White
2648,2013,234,Radnor,1,White
4126,2013,234,Radnor,1,White
6352,2013,987,Kentwood,1,White
5660,2013,234,Radnor,1,White
4392,2013,234,Radnor,1,White
1228,2013,234,Radnor,1,White
7302,2013,122,Westlake,1,White
2601,2013,234,Radnor,1,Black
6912,2013,234,Radnor,1,Black
3448,2013,234,Radnor,1,White
2427,2013,234,Radnor,0,White
7425,2013,234,Radnor,1,White
4595,2013,234,Radnor,1,White
3444,2013,234,Radnor,0,White
878,2013,234,Radnor,1,White
3513,2013,234,Radnor,1,White
3927,2013,987,Kentwood,1,White
369,2013,234,Radnor,1,White
5819,2013,987,Kentwood,1,White
6018,2013,987,Kentwood,0,White
7451,2013,122,Westlake,1,White
3203,2013,234,Radnor,1,White
5691,2013,234,Radnor,1,White
4345,2013,234,Radnor,1,White
6154,2013,234,Radnor,1,White
5504,2013,234,Radnor,0,White
6880,2013,234,Radnor,1,White
2275,2013,234,Radnor,1,White
4428,2013,234,Radnor,1,White
4314,2013,234,Radnor,1,White
3287,2013,987,Kentwood,1,White
6170,2013,234,Radnor,1,White
4011,2013,234,Radnor,1,White
4673,2013,234,Radnor,1,Black
7277,2013,987,Kentwood,1,White
5305,2013,234,Radnor,1,White
1048,2013,234,Radnor,1,White
754,2013,234,Radnor,1,White
4058,2013,234,Radnor,1,White
6981,2013,234,Radnor,1,White
476,2013,122,Westlake,0,White
6978,2013,234,Radnor,1,White
