id,year,districtno,districtname,female,reth
5470,2014,234,Radnor,1,White
6959,2014,234,Radnor,1,White
7281,2014,234,Radnor,1,White
1807,2014,234,Radnor,1,White
7483,2014,987,Kentwood,1,White
7483,2014,987,Kentwood,1,White
2761,2014,234,Radnor,1,White
5413,2014,987,Kentwood,1,White
284,2014,234,Radnor,1,White
3593,2014,234,Radnor,1,White
390,2014,234,Radnor,1,White
4126,2014,234,Radnor,1,White
6352,2014,987,Kentwood,1,White
5660,2014,234,Radnor,1,White
5660,2014,234,Radnor,1,White
2601,2014,234,Radnor,1,Black
3448,2014,234,Radnor,1,White
7425,2014,234,Radnor,1,White
3444,2014,234,Radnor,0,White
878,2014,234,Radnor,1,White
3513,2014,234,Radnor,1,White
3927,2014,987,Kentwood,1,White
5819,2014,987,Kentwood,1,White
7451,2014,122,Westlake,1,White
3203,2014,234,Radnor,1,White
5691,2014,234,Radnor,1,White
4345,2014,234,Radnor,1,White
6880,2014,234,Radnor,1,White
2275,2014,234,Radnor,1,White
2275,2014,234,Radnor,1,White
4428,2014,234,Radnor,1,White
4314,2014,234,Radnor,1,White
3287,2014,987,Kentwood,1,White
6170,2014,234,Radnor,1,White
4011,2014,234,Radnor,1,White
5305,2014,234,Radnor,1,White
1048,2014,234,Radnor,1,White
754,2014,234,Radnor,1,White
4058,2014,234,Radnor,1,White
6981,2014,234,Radnor,1,White
476,2014,122,Westlake,0,White
4854,2014,234,Radnor,0,White
5139,2014,234,Radnor,1,White
131,2014,234,Radnor,1,White
5913,2014,234,Radnor,1,White
3600,2014,234,Radnor,1,White
2706,2014,987,Kentwood,1,White
4897,2014,234,Radnor,0,Hispanic
5933,2014,234,Radnor,1,White
412,2014,234,Radnor,0,White
2746,2014,234,Radnor,1,White
3343,2014,234,Radnor,1,White
5300,2014,234,Radnor,0,White
1023,2014,234,Radnor,0,White
2808,2014,234,Radnor,1,White
4837,2014,234,Radnor,1,White
4618,2014,234,Radnor,0,White
5376,2014,234,Radnor,0,White
2300,2014,234,Radnor,1,White
862,2014,234,Radnor,1,White
1174,2014,987,Kentwood,1,White
6918,2014,234,Radnor,1,Black
5360,2014,234,Radnor,1,White
6616,2014,234,Radnor,1,White
4318,2014,234,Radnor,1,White
1509,2014,234,Radnor,1,White
980,2014,234,Radnor,1,White
5288,2014,234,Radnor,1,White
4465,2014,234,Radnor,1,White
3578,2014,234,Radnor,0,White
5272,2014,234,Radnor,1,White
4546,2014,234,Radnor,1,White
3755,2014,234,Radnor,1,White
6792,2014,122,Westlake,1,
5932,2014,234,Radnor,1,White
7285,2014,234,Radnor,1,White
7285,2014,234,Radnor,1,White
1895,2014,234,Radnor,1,Black
6487,2014,234,Radnor,1,White
7462,2014,234,Radnor,1,White
4266,2014,234,Radnor,1,White
44,2014,987,Kentwood,1,White
3009,2014,234,Radnor,0,White
4833,2014,234,Radnor,1,White
56,2014,234,Radnor,0,White
3748,2014,987,Kentwood,0,White
3445,2014,234,Radnor,1,
2583,2014,234,Radnor,1,White
1939,2014,234,Radnor,1,White
638,2014,234,Radnor,1,White
6702,2014,234,Radnor,1,White
1047,2014,122,Westlake,1,White
4615,2014,234,Radnor,1,White
5268,2014,234,Radnor,1,White
5268,2014,234,Radnor,1,White
2657,2014,234,Radnor,0,Hispanic
6629,2014,234,Radnor,0,Black
829,2014,234,Radnor,1,White
2145,2014,987,Kentwood,1,
1290,2014,987,Kentwood,0,White
5911,2014,234,Radnor,1,Black
4445,2014,987,Kentwood,1,White
4737,2014,987,Kentwood,1,Black
2677,2014,987,Kentwood,1,White
6903,2014,122,Westlake,1,White
7013,2014,234,Radnor,1,White
4277,2014,987,Kentwood,1,White
5167,2014,234,Radnor,1,White
