id,year,districtno,districtname,eval
5180,2014,000234,Radnor,
776,2014,000234,Radnor,4
5470,2014,000234,Radnor,4
6959,2014,000234,Radnor,3
1994,2014,000234,Radnor,4
7281,2014,000234,Radnor,2
1807,2014,000234,Radnor,3
7483,2014,000987,Kentwood,5
2423,2014,000234,Radnor,4
4309,2014,000234,Radnor,5
6881,2014,000234,Radnor,3
6881,2014,000234,Radnor,2
3459,2014,000234,Radnor,2
2855,2014,000234,Radnor,4
3457,2014,000234,Radnor,3
2761,2014,000234,Radnor,5
5413,2014,000987,Kentwood,5
284,2014,000234,Radnor,5
3593,2014,000234,Radnor,5
2648,2014,000234,Radnor,2
4126,2014,000234,Radnor,3
6352,2014,000987,Kentwood,5
5660,2014,000234,Radnor,4
2990,2014,000234,Radnor,2
4706,2014,000234,Radnor,4
2987,2014,000234,Radnor,5
1228,2014,000234,Radnor,3
2601,2014,000234,Radnor,4
5792,2014,000234,Radnor,4
6912,2014,000234,Radnor,2
3448,2014,000234,Radnor,4
2427,2014,000234,Radnor,3
7425,2014,000234,Radnor,4
1701,2014,000987,Kentwood,4
4595,2014,000234,Radnor,2
3444,2014,000234,Radnor,3
4736,2014,000234,Radnor,3
3822,2014,000234,Radnor,2
878,2014,000234,Radnor,3
3513,2014,000234,Radnor,4
3927,2014,000987,Kentwood,5
369,2014,000234,Radnor,4
5819,2014,000987,Kentwood,5
4656,2014,000234,Radnor,3
7451,2014,000122,Westlake,3
2798,2014,000234,Radnor,3
3203,2014,000234,Radnor,3
3785,2014,000234,Radnor,4
5691,2014,000234,Radnor,4
4345,2014,000234,Radnor,2
6154,2014,000234,Radnor,3
6880,2014,000234,Radnor,3
2275,2014,000234,Radnor,2
4428,2014,000234,Radnor,3
4314,2014,000234,Radnor,2
5833,2014,000234,Radnor,2
2366,2014,000234,Radnor,3
3287,2014,000987,Kentwood,5
6170,2014,000234,Radnor,2
4011,2014,000234,Radnor,2
4673,2014,000234,Radnor,2
5305,2014,000234,Radnor,5
1048,2014,000234,Radnor,3
754,2014,000234,Radnor,3
124,2014,000234,Radnor,5
4058,2014,000234,Radnor,3
6981,2014,000234,Radnor,4
4854,2014,000234,Radnor,4
721,2014,000234,Radnor,1
4916,2014,000234,Radnor,5
5139,2014,000234,Radnor,5
1482,2014,000234,Radnor,5
131,2014,000234,Radnor,4
5913,2014,000234,Radnor,3
5390,2014,000234,Radnor,1
3600,2014,000234,Radnor,4
2706,2014,000987,Kentwood,5
2706,2014,000987,Kentwood,4
4897,2014,000234,Radnor,3
931,2014,000234,Radnor,3
1448,2014,000234,Radnor,5
4205,2014,000234,Radnor,1
5933,2014,000234,Radnor,4
2746,2014,000234,Radnor,2
1215,2014,000234,Radnor,4
3343,2014,000234,Radnor,4
4056,2014,000234,Radnor,4
7137,2014,000234,Radnor,2
984,2014,000234,Radnor,3
5300,2014,000234,Radnor,3
1023,2014,000234,Radnor,3
3534,2014,000234,Radnor,4
6578,2014,000234,Radnor,4
2808,2014,000234,Radnor,4
4837,2014,000234,Radnor,5
4618,2014,000234,Radnor,2
5376,2014,000234,Radnor,2
5436,2014,000234,Radnor,1
2300,2014,000234,Radnor,4
3580,2014,000234,Radnor,2
862,2014,000234,Radnor,3
1110,2014,000234,Radnor,4
6918,2014,000234,Radnor,5
2498,2014,000234,Radnor,2
2000,2014,000234,Radnor,2
5360,2014,000234,Radnor,3
2980,2014,000234,Radnor,5
1050,2014,000234,Radnor,4
5392,2014,000234,Radnor,2
6966,2014,000234,Radnor,4
2278,2014,000234,Radnor,4
4318,2014,000234,Radnor,3
1509,2014,000234,Radnor,3
980,2014,000234,Radnor,5
5288,2014,000234,Radnor,4
4465,2014,000234,Radnor,3
6271,2014,000234,Radnor,4
7215,2014,000234,Radnor,2
3578,2014,000234,Radnor,4
2485,2014,000234,Radnor,3
4324,2014,000234,Radnor,3
5272,2014,000234,Radnor,5
4546,2014,000234,Radnor,2
985,2014,000234,Radnor,5
5399,2014,000234,Radnor,3
3755,2014,000234,Radnor,3
1121,2014,000234,Radnor,4
6792,2014,000122,Westlake,3
5932,2014,000234,Radnor,4
7285,2014,000234,Radnor,4
1895,2014,000234,Radnor,4
6487,2014,000234,Radnor,4
7462,2014,000234,Radnor,4
2310,2014,000234,Radnor,4
4266,2014,000234,Radnor,2
44,2014,000987,Kentwood,1
3009,2014,000234,Radnor,4
4833,2014,000234,Radnor,3
2447,2014,000234,Radnor,4
1124,2014,000234,Radnor,4
56,2014,000234,Radnor,3
3748,2014,000987,Kentwood,3
3445,2014,000234,Radnor,3
1834,2014,000234,Radnor,4
2583,2014,000234,Radnor,1
1939,2014,000234,Radnor,4
1451,2014,000234,Radnor,4
638,2014,000234,Radnor,2
6702,2014,000234,Radnor,3
4615,2014,000234,Radnor,4
5100,2014,000234,Radnor,4
2657,2014,000234,Radnor,4
6629,2014,000234,Radnor,2
829,2014,000234,Radnor,3
1170,2014,000234,Radnor,4
3354,2014,000234,Radnor,3
2145,2014,000987,Kentwood,3
1290,2014,000987,Kentwood,5
5085,2014,000234,Radnor,4
5911,2014,000234,Radnor,4
1646,2014,000234,Radnor,3
6599,2014,000234,Radnor,3
4445,2014,000987,Kentwood,
4737,2014,000987,Kentwood,3
5322,2014,000234,Radnor,4
2677,2014,000987,Kentwood,5
7133,2014,000234,Radnor,3
6903,2014,000122,Westlake,4
2924,2014,000234,Radnor,3
7013,2014,000234,Radnor,4
4277,2014,000987,Kentwood,5
5167,2014,000234,Radnor,3
1254,2014,000234,Radnor,2
5699,2014,000234,Radnor,3
3675,2014,000234,Radnor,2
4097,2014,000234,Radnor,4
4111,2014,000234,Radnor,4
5584,2014,000234,Radnor,4
6910,2014,000234,Radnor,4
2368,2014,000234,Radnor,2
2803,2014,000234,Radnor,3
5536,2014,000234,Radnor,3
4413,2014,000234,Radnor,3
5253,2014,000234,Radnor,2
898,2014,000234,Radnor,4
4686,2014,000234,Radnor,5
7458,2014,000234,Radnor,5
6300,2014,000234,Radnor,3
6673,2014,000234,Radnor,1
4311,2014,000234,Radnor,5
531,2014,000234,Radnor,4
5130,2014,000234,Radnor,3
3147,2014,000234,Radnor,4
2297,2014,000234,Radnor,3
750,2014,000234,Radnor,5
1545,2014,000234,Radnor,2
6099,2014,000234,Radnor,3
2915,2014,000234,Radnor,4
1405,2014,000234,Radnor,3
3540,2014,000234,Radnor,3
987,2014,000234,Radnor,2
5350,2014,000234,Radnor,4
1262,2014,000234,Radnor,4
3880,2014,000234,Radnor,3
3932,2014,000234,Radnor,4
5874,2014,000234,Radnor,3
3266,2014,000987,Kentwood,3
4285,2014,000987,Kentwood,4
1346,2014,000234,Radnor,3
2517,2014,000234,Radnor,4
4621,2014,000234,Radnor,4
4882,2014,000234,Radnor,2
4884,2014,000234,Radnor,4
6402,2014,000234,Radnor,4
6704,2014,000234,Radnor,2
5596,2014,000234,Radnor,5
2361,2014,000234,Radnor,4
5655,2014,000234,Radnor,4
5152,2014,000234,Radnor,4
6265,2014,000234,Radnor,3
2714,2014,000234,Radnor,5
6506,2014,000234,Radnor,4
4991,2014,000234,Radnor,2
1248,2014,000234,Radnor,2
2223,2014,000234,Radnor,1
5404,2014,000234,Radnor,5
5796,2014,000234,Radnor,4
4726,2014,000234,Radnor,2
1250,2014,000234,Radnor,2
2473,2014,000234,Radnor,4
1941,2014,000234,Radnor,
210,2014,000234,Radnor,3
4666,2014,000987,Kentwood,3
3727,2014,000234,Radnor,2
95,2014,000234,Radnor,2
3858,2014,000234,Radnor,5
2754,2014,000987,Kentwood,5
5747,2014,000234,Radnor,4
4336,2014,000234,Radnor,4
2031,2014,000234,Radnor,4
5995,2014,000234,Radnor,4
6696,2014,000234,Radnor,2
1606,2014,000987,Kentwood,4
983,2014,000234,Radnor,4
3326,2014,000234,Radnor,2
7353,2014,000234,Radnor,4
5260,2014,000234,Radnor,3
4502,2014,000234,Radnor,2
5535,2014,000234,Radnor,1
2354,2014,000234,Radnor,4
7196,2014,000234,Radnor,4
4385,2014,000234,Radnor,3
5273,2014,000987,Kentwood,4
1988,2014,000234,Radnor,2
1131,2014,000234,Radnor,3
1627,2014,000234,Radnor,3
4434,2014,000234,Radnor,4
1983,2014,000234,Radnor,2
5026,2014,000234,Radnor,1
2044,2014,000234,Radnor,5
296,2014,000987,Kentwood,3
3302,2014,000234,Radnor,3
2880,2014,000234,Radnor,3
893,2014,000234,Radnor,3
5192,2014,000234,Radnor,3
2822,2014,000234,Radnor,3
1495,2014,000234,Radnor,3
1043,2014,000234,Radnor,2
1178,2014,000234,Radnor,4
6539,2014,000234,Radnor,5
2360,2014,000234,Radnor,3
6697,2014,000234,Radnor,4
904,2014,000234,Radnor,5
6256,2014,000234,Radnor,3
6186,2014,000234,Radnor,4
1565,2014,000234,Radnor,2
2639,2014,000234,Radnor,2
7365,2014,000234,Radnor,3
458,2014,000234,Radnor,3
6852,2014,000234,Radnor,4
1289,2014,000234,Radnor,3
4571,2014,000987,Kentwood,3
472,2014,000234,Radnor,3
1610,2014,000234,Radnor,2
4544,2014,000234,Radnor,3
474,2014,000234,Radnor,3
