id,year,districtno,districtname,eval
6959,2015,234,Radnor,2.0
1807,2015,234,Radnor,4.0
7483,2015,987,Kentwood,2.0
2761,2015,234,Radnor,3.0
5413,2015,987,Kentwood,1.0
3593,2015,234,Radnor,4.0
4126,2015,234,Radnor,4.0
6352,2015,987,Kentwood,1.0
2987,2015,234,Radnor,4.0
2601,2015,234,Radnor,4.0
1701,2015,987,Kentwood,5.0
5819,2015,987,Kentwood,3.0
7451,2015,123,Westlake,5.0
2798,2015,234,Radnor,3.0
3785,2015,234,Radnor,4.0
6170,2015,234,Radnor,3.0
4011,2015,234,Radnor,2.0
6981,2015,234,Radnor,4.0
5139,2015,234,Radnor,3.0
1482,2015,234,Radnor,4.0
131,2015,234,Radnor,4.0
5913,2015,234,Radnor,4.0
5390,2015,234,Radnor,4.0
3600,2015,234,Radnor,4.0
2706,2015,987,Kentwood,
4897,2015,234,Radnor,3.0
2746,2015,234,Radnor,3.0
4837,2015,234,Radnor,3.0
4618,2015,234,Radnor,2.0
5376,2015,234,Radnor,4.0
862,2015,234,Radnor,3.0
1110,2015,234,Radnor,5.0
6918,2015,234,Radnor,2.0
5360,2015,234,Radnor,3.0
4318,2015,234,Radnor,5.0
1509,2015,234,Radnor,3.0
4465,2015,234,Radnor,4.0
7215,2015,234,Radnor,4.0
2485,2015,234,Radnor,3.0
5272,2015,234,Radnor,3.0
4546,2015,234,Radnor,2.0
3755,2015,234,Radnor,4.0
7285,2015,234,Radnor,4.0
6487,2015,234,Radnor,3.0
2310,2015,234,Radnor,3.0
4266,2015,234,Radnor,5.0
44,2015,987,Kentwood,2.0
3009,2015,234,Radnor,3.0
56,2015,234,Radnor,4.0
3748,2015,987,Kentwood,4.0
2583,2015,234,Radnor,4.0
1939,2015,234,Radnor,5.0
6629,2015,234,Radnor,4.0
2145,2015,987,Kentwood,5.0
1290,2015,987,Kentwood,3.0
6599,2015,234,Radnor,3.0
4445,2015,987,Kentwood,2.0
4737,2015,987,Kentwood,4.0
2677,2015,987,Kentwood,3.0
7133,2015,234,Radnor,3.0
6903,2015,123,Westlake,4.0
7013,2015,234,Radnor,4.0
4277,2015,987,Kentwood,3.0
5167,2015,234,Radnor,3.0
4111,2015,234,Radnor,4.0
5584,2015,234,Radnor,3.0
6910,2015,234,Radnor,3.0
5253,2015,234,Radnor,3.0
4686,2015,234,Radnor,4.0
6300,2015,234,Radnor,2.0
6673,2015,234,Radnor,4.0
531,2015,234,Radnor,4.0
3147,2015,234,Radnor,1.0
2297,2015,234,Radnor,2.0
1545,2015,234,Radnor,5.0
2915,2015,234,Radnor,3.0
987,2015,234,Radnor,4.0
5350,2015,234,Radnor,3.0
1262,2015,234,Radnor,3.0
3880,2015,234,Radnor,4.0
4285,2015,987,Kentwood,4.0
5596,2015,234,Radnor,3.0
2361,2015,234,Radnor,2.0
2714,2015,234,Radnor,3.0
2223,2015,234,Radnor,2.0
4726,2015,234,Radnor,5.0
2473,2015,234,Radnor,3.0
1941,2015,234,Radnor,2.0
4666,2015,987,Kentwood,3.0
3727,2015,234,Radnor,
95,2015,234,Radnor,4.0
3858,2015,234,Radnor,3.0
2754,2015,987,Kentwood,3.0
5747,2015,234,Radnor,3.0
4336,2015,234,Radnor,4.0
2031,2015,234,Radnor,3.0
3326,2015,234,Radnor,3.0
7353,2015,234,Radnor,4.0
4502,2015,234,Radnor,4.0
5535,2015,234,Radnor,4.0
2354,2015,234,Radnor,5.0
7196,2015,234,Radnor,3.0
5273,2015,987,Kentwood,2.0
1131,2015,234,Radnor,3.0
1627,2015,234,Radnor,
5026,2015,234,Radnor,4.0
296,2015,987,Kentwood,1.0
2880,2015,234,Radnor,3.0
1495,2015,234,Radnor,4.0
1043,2015,234,Radnor,3.0
6256,2015,234,Radnor,5.0
6186,2015,234,Radnor,3.0
1565,2015,234,Radnor,3.0
2639,2015,234,Radnor,5.0
7365,2015,234,Radnor,4.0
458,2015,234,Radnor,3.0
6852,2015,234,Radnor,3.0
4571,2015,987,Kentwood,2.0
1610,2015,234,Radnor,5.0
4544,2015,234,Radnor,5.0
474,2015,234,Radnor,4.0
4089,2015,987,Kentwood,4.0
263,2015,234,Radnor,3.0
7334,2015,234,Radnor,5.0
